Name,Nickname,Weight Class,Record,Knockouts,Submissions,First Round Finishes,,,,,,,,,,,,,,,,,,,,,,,,,,
KyeongPyo Kim,None,Lightweight Division,1-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MinWoo Kim,None,Bantamweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ji Yeon Kim,"""Firefist""",Women's Flyweight Division,9-6-2 (W-L-D),2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Kimball,"""Grizzly""",Light Heavyweight Division,15-8-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Kimmons,"""The Rosedale Reaper""",Middleweight Division,23-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Kimura,"""The Diamond""",Bantamweight Division,12-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike King,None,Middleweight Division,5-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Kingsbury,"""Kingsbu""",Light Heavyweight Division,11-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Yusaku Kinoshita,None,Welterweight Division,6-2-0 (W-L-D),4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamuela Kirk,"""The Jawaiian""",Lightweight Division,12-5-0 (W-L-D),5,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Justine Kish,None,Women's Flyweight Division,7-4-0 (W-L-D),0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Koji Kitao,None,,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Top Noi Kiwram,"""""Tiger Muay Thai""""",Flyweight Division,1-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludovit Klein,"""Mr. Highlight""",Lightweight Division,19-4-0 (W-L-D),8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Klinkhammer,None,Welterweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Drakkar Klose,None,Lightweight Division,13-2-1 (W-L-D),5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Knight,"""The Kid""",Featherweight Division,20-6-0 (W-L-D),3,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
William Knight,"""Nightmare""",Heavyweight Division,11-4-0 (W-L-D),9,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Josefine Knutsson,None,Women's Strawweight Division,1-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Koch,"""New Breed""",Welterweight Division,16-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Kohler,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaloyan Kolev,None,Light Heavyweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
John Kolosci,None,Welterweight Division,8-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Syuri Kondo,None,Women's Strawweight Division,6-3-0 (W-L-D),1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuki Kondo,None,Light Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheick Kongo,None,Heavyweight Division,28-8-2 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Koppenhaver,None,Welterweight Division,6-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Kopylov,None,Middleweight Division,10-2-0 (W-L-D),9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Korea,None,Flyweight Division,4-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsuyoshi Kosaka,"""TK""",Heavyweight Division,18-9-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Koscheck,None,Welterweight Division,19-10-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Koslow,"""Obi Won Shinobi The Pillow""",Bantamweight Division,6-1-0 (W-L-D),0,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Naoyuki Kotani,None,Lightweight Division,33-13-7 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Karolina Kowalkiewicz,None,Women's Strawweight Division,15-7-0 (W-L-D),1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Krantz,"""D-Rock""",Welterweight Division,24-12-0 (W-L-D),10,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
James Krause,"""The James Krause""",Welterweight Division,28-9-0 (W-L-D),8,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascal Krauss,"""Panzer""",Welterweight Division,11-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorgen Kruth,"""The Last Viking""",Light Heavyweight Division,5-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikita Krylov,"""The Miner""",Light Heavyweight Division,29-9-0 (W-L-D),12,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariusz Ksiazkiewicz,None,Middleweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Kuiper,None,Middleweight Division,12-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton Kuivanen,None,Lightweight Division,17-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksei Kunchenko,None,Welterweight Division,20-2-0 (W-L-D),13,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rizvan Kuniev,None,Heavyweight Division,1-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Keigo Kunihara,None,Heavyweight Division,3-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiichi Kunimoto,"""Strasser""",Welterweight Division,19-6-2 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo Kuntz,"""The Lion""",Lightweight Division,17-3-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Korey Kuppe,None,Welterweight Division,8-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramazan Kuramagomedov,None,Middleweight Division,1-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Guram Kutateladze,"""Georgian Viking""",Lightweight Division,12-3-0 (W-L-D),7,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwan Ho Kwak,"""The Handsome""",Bantamweight Division,9-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Kyle,"""MAK""",Light Heavyweight Division,19-9-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Luan Lacerda,None,Bantamweight Division,12-2-0 (W-L-D),0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen Ladd,None,Women's Bantamweight Division,9-3-0 (W-L-D),6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan LaFlare,None,Welterweight Division,13-3-0 (W-L-D),4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Noad Lahat,"""Neo""",Featherweight Division,9-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tina Lahdemaki,"""Jelly Bean""",Women's Strawweight Division,5-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Yohan Lainesse,"""White Lion""",Welterweight Division,9-1-0 (W-L-D),6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Lajcik,"""The Bohemian""",Heavyweight Division,11-4-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Lally,"""The Unpredictable One""",Welterweight Division,8-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Lamas,"""The Bully""",Featherweight Division,20-8-0 (W-L-D),6,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Lambert,"""The Punisher""",Middleweight Division,23-8-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Landwehr,"""The Train""",Featherweight Division,16-4-0 (W-L-D),8,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Austen Lane,None,Heavyweight Division,12-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lina Lansberg,"""Elbow Queen""",Women's Bantamweight Division,10-7-0 (W-L-D),4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Lapilus,"""Double Impact""",Bantamweight Division,11-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Laprise,"""The Disciple""",Welterweight Division,14-4-0 (W-L-D),8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Lapsley,"""The Recipe""",Welterweight Division,25-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ Laramie,None,Featherweight Division,12-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Icho Larenas,None,Heavyweight Division,3-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenz Larkin,"""The Monsoon""",Welterweight Division,18-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Larsen,None,Featherweight Division,8-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Larson,None,Welterweight Division,27-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilir Latifi,"""The Sledgehammer""",Heavyweight Division,17-8-0 (W-L-D),6,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Sione Latu,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenel Lausa,"""The Demolition Man""",Flyweight Division,7-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Lauzon,"""The Upgrade""",Lightweight Division,12-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Lauzon,None,Lightweight Division,28-16-0 (W-L-D),9,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra Lavado,None,Women's Strawweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Lawler,"""Ruthless""",Welterweight Division,29-16-0 (W-L-D),21,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Lawlor,"""Filthy""",Light Heavyweight Division,10-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Lawrence,"""The American Kidd""",Featherweight Division,4-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Lawrence,"""The Tornado""",Featherweight Division,5-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronnie Lawrence,"""The Heat""",Bantamweight Division,8-2-0 (W-L-D),4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Lawson,None,Heavyweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Valmir Lazaro,"""Bidu""",Lightweight Division,13-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Zviad Lazishvili,None,Bantamweight Division,13-1-0 (W-L-D),0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mounir Lazzez,"""The Sniper""",Welterweight Division,11-3-0 (W-L-D),8,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanh Le,None,Featherweight Division,7-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cung Le,None,Middleweight Division,9-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Leavitt,"""The Monkey King""",Lightweight Division,10-2-0 (W-L-D),1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Leben,"""The Crippler""",Middleweight Division,22-11-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mickael Lebout,"""Ragnar""",Lightweight Division,14-5-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Ledet,"""El Blanco""",Light Heavyweight Division,9-4-0 (W-L-D),2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Lee,"""KGB""",Women's Flyweight Division,13-6-0 (W-L-D),3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Lee,"""The Motown Phenom""",Welterweight Division,18-7-0 (W-L-D),3,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Lee,None,Featherweight Division,3-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaughan Lee,None,Bantamweight Division,14-11-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
David Lee,None,Lightweight Division,5-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
James Lee,None,Light Heavyweight Division,25-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Lee,None,Lightweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
JeongYeong Lee,"""Korean Tiger""",Featherweight Division,10-1-0 (W-L-D),4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyden Leialoha,"""Steadfast""",Bantamweight Division,6-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Christophe Leininger,None,Lightweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudia Leite,None,Women's Bantamweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Thales Leites,None,Middleweight Division,27-9-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Giacomo Lemos,"""The Viking""",Heavyweight Division,6-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Lemos,None,Women's Strawweight Division,13-2-1 (W-L-D),8,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Lennox,"""The Ox""",Welterweight Division,15-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nik Lentz,"""The Carny""",Featherweight Division,30-12-2 (W-L-D),11,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Cerro Leon,None,,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Leonardo,"""Fury""",Women's Flyweight Division,9-5-0 (W-L-D),0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Leone,None,Bantamweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimo Leopoldo,"""Kimo""",Heavyweight Division,10-4-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Lesnar,None,Heavyweight Division,6-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Lester,"""The Tank""",Welterweight Division,3-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Valerie Letourneau,"""Trouble""",Women's Strawweight Division,8-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Leah Letson,"""Nidas""",Women's Featherweight Division,5-3-0 (W-L-D),3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Levens,"""Executioner""",Middleweight Division,7-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus LeVesseur,"""The Prospect""",Lightweight Division,22-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
David Levicki,None,,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Natan Levy,None,Lightweight Division,8-1-0 (W-L-D),0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bevon Lewis,None,Middleweight Division,8-3-0 (W-L-D),3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Lewis,None,Lightweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Lewis,None,Bantamweight Division,0-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
John Lewis,None,Lightweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Lewis,"""The Black Beast""",Heavyweight Division,26-10-0 (W-L-D),21,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi Lewis-Parry,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jess Liaudin,"""The Joker""",Lightweight Division,12-11-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck Liddell,"""The Iceman""",Light Heavyweight Division,21-8-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Lidio,None,Lightweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Light,"""The Lisbon Outlaw""",Welterweight Division,5-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Ligouri,None,Middleweight Division,2-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyun Gyu Lim,"""The Ace""",Welterweight Division,13-7-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mabelly Lima,None,Women's Bantamweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhiego Lima,None,Welterweight Division,17-9-0 (W-L-D),4,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Juliana Lima,"""Ju Thai""",Women's Strawweight Division,9-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Lindland,"""The Law""",Middleweight Division,15-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Lindsey,"""The Librarian""",Lightweight Division,9-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
John Lineker,"""Hands of Stone""",Bantamweight Division,31-9-0 (W-L-D),14,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Lingo,"""Lights Out""",Featherweight Division,9-1-0 (W-L-D),3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucio Linhares,"""The Spartan""",Middleweight Division,13-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipe Lins,"""Monstro""",Light Heavyweight Division,15-5-0 (W-L-D),8,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang Lipeng,"""The Warrior""",Lightweight Division,9-9-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariane Lipski,"""Queen of Violence""",Women's Flyweight Division,14-8-0 (W-L-D),6,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Tainara Lisboa,None,Women's Bantamweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Lister,"""The Boogeyman""",Middleweight Division,11-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingyuan Liu,None,Bantamweight Division,13-7-0 (W-L-D),3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Abner Lloveras,"""Skullman""",Lightweight Division,19-8-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
John Lober,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Artem Lobov,"""The Russian Hammer""",Featherweight Division,14-15-1 (W-L-D),4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Lockard,None,Featherweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Loeffler,"""The Destroyer""",Middleweight Division,25-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Lohsen,None,Lightweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
David Loiseau,"""The Crow""",Middleweight Division,18-10-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hector Lombard,"""Showeather""",Middleweight Division,34-9-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Lombardo,"""The Don""",Welterweight Division,11-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiao Long,None,Bantamweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Loma Lookboonmee,None,Women's Strawweight Division,7-3-0 (W-L-D),1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ange Loosa,None,Welterweight Division,9-3-0 (W-L-D),5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Dileno Lopes,None,Bantamweight Division,19-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Lopes,None,Featherweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge Lopez,None,Welterweight Division,11-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Lopez,None,Bantamweight Division,10-5-0 (W-L-D),5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Lopez,None,Lightweight Division,12-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo Lopez,None,Bantamweight Division,12-6-1 (W-L-D),6,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Benito Lopez,"""Golden Boy""",Bantamweight Division,10-2-0 (W-L-D),3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Loughnane,None,Lightweight Division,16-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Loughran,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Loveland,"""The Barn Owl""",Bantamweight Division,14-9-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Waylon Lowe,None,Lightweight Division,10-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Lowry,None,Lightweight Division,7-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Lucarelli,None,,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Lucas,"""Luke Duke""",Light Heavyweight Division,14-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Iasmin Lucindo,None,Women's Strawweight Division,13-5-0 (W-L-D),8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Duane Ludwig,"""Bang""",Welterweight Division,29-14-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Lullo,None,Featherweight Division,8-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Qiu Lun,None,Flyweight Division,1-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalcha Lungiambula,"""Champion""",Middleweight Division,11-6-0 (W-L-D),5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicente Luque,"""The Silent Assassin""",Welterweight Division,21-9-1 (W-L-D),11,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaddeus Luster,None,,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Lutter,"""The Serial Killer""",Middleweight Division,12-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Lutz,"""Top Gun""",Featherweight Division,12-2-0 (W-L-D),6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevie Lynch,"""Smiling Assassin""",Welterweight Division,4-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Lytle,"""Lights Out""",Welterweight Division,41-18-4 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dong Hyun Ma,"""Maestro""",Lightweight Division,16-11-3 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawan Maan,None,Lightweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
William Macario,"""Patolino""",Welterweight Division,8-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan MacDonald,"""Main Event""",Bantamweight Division,10-2-0 (W-L-D),3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rory MacDonald,"""Red King""",Welterweight Division,18-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason MacDonald,"""The Athlete""",Middleweight Division,26-16-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob MacDonald,"""Maximus""",Light Heavyweight Division,4-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica Macedo,None,Women's Flyweight Division,6-4-1 (W-L-D),1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caio Machado,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Valesca Machado,"""Tina Black""",Women's Strawweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Machado Garry,"""The Future""",Welterweight Division,10-0-0 (W-L-D),5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyoto Machida,"""The Dragon""",Middleweight Division,24-8-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pauline Macias,None,Women's Strawweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Macias,None,,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reza Madadi,"""Mad Dog""",Lightweight Division,14-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Madge,"""Magic Man""",Lightweight Division,9-3-1 (W-L-D),5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Madigan,"""The Lion""",Welterweight Division,5-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Madsen,None,Heavyweight Division,7-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
