Name,Nickname,Weight Class,Record,Knockouts,Submissions,First Round Finishes,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Alvey,"""Smile'N""",Middleweight Division,33-18-1 (W-L-D),19,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Adlan Amagov,"""Borz""",Welterweight Division,13-2-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayanne Amanda,None,Women's Strawweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alen Amedovski,None,Middleweight Division,8-4-0 (W-L-D),8,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Makwan Amirkhani,"""Mr. Finland""",Featherweight Division,17-8-0 (W-L-D),1,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaqueline Amorim,None,Women's Strawweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Eryk Anders,"""Ya Boi""",Middleweight Division,15-7-0 (W-L-D),9,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Andersen,None,,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Megan Anderson,None,Women's Featherweight Division,11-5-0 (W-L-D),6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Anderson,"""Overtime""",Light Heavyweight Division,14-5-0 (W-L-D),5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Anderson,None,,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowell Anderson,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatsuya Ando,None,Bantamweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Viscardi Andrade,None,Welterweight Division,19-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Andrade,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica Andrade,"""Bate Estaca""",Women's Flyweight Division,24-9-0 (W-L-D),9,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine Andre,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Andres Luna,None,Flyweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Andrews,"""The Villain""",Middleweight Division,18-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reese Andy,"""Riptide""",Light Heavyweight Division,7-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Anglickas,None,Light Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Collin Anglin,None,Featherweight Division,8-3-0 (W-L-D),5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Anheliger,"""The Monster""",Bantamweight Division,12-6-0 (W-L-D),7,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoji Anjo,"""Mr. 200%""",Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Magomed Ankalaev,None,Light Heavyweight Division,18-1-1 (W-L-D),10,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Nina Nunes,None,Women's Flyweight Division,11-7-0 (W-L-D),4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadzhimurad Antigulov,None,Light Heavyweight Division,20-8-0 (W-L-D),4,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Antolin,"""Captain Chaos""",Flyweight Division,13-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Zu Anyanwu,"""8th Wonder""",Heavyweight Division,14-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang Anying,"""Smiley""",Welterweight Division,2-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Shinsho Anzai,"""Animal""",Welterweight Division,10-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoriqileng,"""The Mongolian Murderer""",Bantamweight Division,24-9-0 (W-L-D),7,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Appelt,None,Heavyweight Division,15-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Aragon,"""Tenacious""",None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Romie Aram,None,Welterweight Division,6-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Arantes,"""Sertanejo""",Bantamweight Division,18-9-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Araujo,None,Welterweight Division,25-8-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Viviane Araújo,"""Vivi""",Women's Flyweight Division,11-4-0 (W-L-D),3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Arce,None,Bantamweight Division,18-6-0 (W-L-D),5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrese Archer,"""One Punch""",None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Argueta,"""The Determined""",Featherweight Division,9-1-0 (W-L-D),2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Hashem Arkhagha,None,Middleweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Arlovski,"""The Pit Bull""",Heavyweight Division,34-21-0 (W-L-D),17,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Armfield,None,Bantamweight Division,8-3-0 (W-L-D),5,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Arnett,"""Golden Boy""",Featherweight Division,16-6-0 (W-L-D),7,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Akbarh Arreola,"""El Caballero""",Lightweight Division,23-9-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Arroyo,None,Middleweight Division,9-5-0 (W-L-D),4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Arroyo,"""No Regard""",Welterweight Division,3-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesar Arzamendia,"""Goku""",Lightweight Division,7-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Asbury,"""Anax Religion""",None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddy Ash,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Arman Ashimov,None,Flyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanal Ashmoz,None,Lightweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Askar Askar,"""AK-47""",Featherweight Division,11-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Askar Askarov,"""Bullet""",Flyweight Division,14-1-1 (W-L-D),4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyril Asker,"""Silverback""",Heavyweight Division,9-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Khusein Askhabov,None,Featherweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Askham,None,Middleweight Division,14-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Askren,"""Funky""",Welterweight Division,19-2-0 (W-L-D),6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibo Aslan,None,Light Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Aspinall,None,Heavyweight Division,12-3-0 (W-L-D),9,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Assis,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
